identifiers,date,page
"Oral History , Accession Number: 1999.A.0122.1072 , RG Number: RG-50.477.1072",interview: 1989 February 27,https://collections.ushmm.org/search/catalog/irn518363
"Oral History , RG Number: RG-50.344.0007",interview: 1995 July 15,https://collections.ushmm.org/search/catalog/irn513375
"Oral History , Accession Number: 2003.181 , RG Number: RG-50.030.0477",interview: 2003 July 24,https://collections.ushmm.org/search/catalog/irn513365
"Oral History , Accession Number: 1999.A.0122.452 , RG Number: RG-50.477.0452",interview: 1990 June 12,https://collections.ushmm.org/search/catalog/irn512337
"Oral History , Accession Number: 1999.A.0122.84 , RG Number: RG-50.477.0084",interview: 1992 May 27,https://collections.ushmm.org/search/catalog/irn508142
"Oral History , Accession Number: 1999.A.0122.1250 , RG Number: RG-50.477.1250",interview: 1990 March 11,https://collections.ushmm.org/search/catalog/irn45987
"Oral History , Accession Number: 1999.A.0122.1254 , RG Number: RG-50.477.1254",interview: 1985 June 20,https://collections.ushmm.org/search/catalog/irn45991
"Oral History , Accession Number: 1997.A.0416 , RG Number: RG-50.106.0065",interview: 1997 May 19,https://collections.ushmm.org/search/catalog/irn507562
"Oral History , Accession Number: 1995.A.1269.11 , RG Number: RG-50.470.0011",interview: 1995 February 14,https://collections.ushmm.org/search/catalog/irn511056
"Oral History , Accession Number: 1989.346.124 , RG Number: RG-50.031.0124",interview: 2014 September 09,https://collections.ushmm.org/search/catalog/irn560571
"Oral History , Accession Number: 1996.A.0459.4 , RG Number: RG-50.419.0004",interview: 1988 February 11,https://collections.ushmm.org/search/catalog/irn513445
"Oral History , Accession Number: 1995.A.1286.41 , RG Number: RG-50.405.0041",interview: 1990 December 10,https://collections.ushmm.org/search/catalog/irn511690
"Oral History , Accession Number: 1992.A.0128.36 , RG Number: RG-50.165.0036",Unknown,https://collections.ushmm.org/search/catalog/irn511264
"Oral History , Accession Number: 2001.137.15 , RG Number: RG-50.010.0015",Unknown,https://collections.ushmm.org/search/catalog/irn508884
"Oral History , RG Number: RG-50.549.01.0006",interview: 1995 December 01,https://collections.ushmm.org/search/catalog/irn504891
"Oral History , Accession Number: 1999.A.0122.459 , RG Number: RG-50.477.0459",interview: 1991 March 26interview: 1991 June 19interview: 1991 October 31interview: 1991 December 12,https://collections.ushmm.org/search/catalog/irn512344
"Oral History , Accession Number: 1992.A.0126.6 , RG Number: RG-50.156.0006",interview: 1983 April 12,https://collections.ushmm.org/search/catalog/irn510657
"Oral History , Accession Number: 1999.A.0122.1023 , RG Number: RG-50.477.1023",interview: 1990 December 12interview: 1991 February 27,https://collections.ushmm.org/search/catalog/irn517085
"Oral History , Accession Number: 1999.A.0122.618 , RG Number: RG-50.477.0618",interview: 1990 November 08,https://collections.ushmm.org/search/catalog/irn514571
"Oral History , Accession Number: 1999.A.0122.1321 , RG Number: RG-50.477.1321",interview: 1983 April 13,https://collections.ushmm.org/search/catalog/irn47594
"Oral History , Accession Number: 1996.A.0456.2 , RG Number: RG-50.429.0002",interview: 1996 May 15,https://collections.ushmm.org/search/catalog/irn504460
"Oral History , Accession Number: 1995.A.1269.5 , RG Number: RG-50.470.0005",interview: 1995 February 13,https://collections.ushmm.org/search/catalog/irn511050
"Oral History , Accession Number: 2000.367 , RG Number: RG-50.549.04.0003",interview: 2000 December 07,https://collections.ushmm.org/search/catalog/irn508473
"Oral History , Accession Number: 1990.373.1 , RG Number: RG-50.030.0174",interview: 1990 April 23,https://collections.ushmm.org/search/catalog/irn504663
"Oral History , RG Number: RG-50.030.0332",interview: 1995 May 25,https://collections.ushmm.org/search/catalog/irn504826
"Oral History , Accession Number: 2012.255.1 , RG Number: RG-50.030.0677",interview: 2012 November 20,https://collections.ushmm.org/search/catalog/irn49549
"Oral History , Accession Number: 1989.A.0335 , RG Number: RG-50.030.0040",interview: 1989 September 18,https://collections.ushmm.org/search/catalog/irn504542
"Oral History , RG Number: RG-50.030.0233",interview: 1990 November 09,https://collections.ushmm.org/search/catalog/irn507303
"Oral History , Accession Number: 2007.349 , RG Number: RG-50.030.0520",interview: 2007 October 25,https://collections.ushmm.org/search/catalog/irn519157
"Oral History , RG Number: RG-50.243.0022",interview: 1990 December 05,https://collections.ushmm.org/search/catalog/irn514136
"Oral History , Accession Number: 1992.A.0128.3 , RG Number: RG-50.165.0003",interview: 1989 August 16,https://collections.ushmm.org/search/catalog/irn511228
"Oral History , Accession Number: 1992.A.0126.24 , RG Number: RG-50.156.0024",interview: 1986 November 24,https://collections.ushmm.org/search/catalog/irn510678
